sample-id	forward-absolute-filepath	reverse-absolute-filepath
SRR7182107	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182107_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182107_2.fastq.gz
SRR7182108	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182108_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182108_2.fastq.gz
SRR7182109	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182109_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182109_2.fastq.gz
SRR7182110	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182110_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182110_2.fastq.gz
SRR7182111	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182111_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182111_2.fastq.gz
SRR7182112	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182112_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182112_2.fastq.gz
SRR7182113	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182113_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182113_2.fastq.gz
SRR7182115	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182115_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182115_2.fastq.gz
SRR7182116	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182116_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182116_2.fastq.gz
SRR7182117	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182117_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182117_2.fastq.gz
SRR7182119	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182119_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182119_2.fastq.gz
SRR7182122	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182122_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182122_2.fastq.gz
SRR7182126	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182126_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182126_2.fastq.gz
SRR7182127	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182127_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182127_2.fastq.gz
SRR7182129	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182129_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182129_2.fastq.gz
SRR7182130	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182130_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182130_2.fastq.gz
SRR7182131	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182131_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182131_2.fastq.gz
SRR7182132	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182132_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182132_2.fastq.gz
SRR7182133	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182133_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182133_2.fastq.gz
SRR7182134	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182134_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182134_2.fastq.gz
SRR7182135	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182135_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182135_2.fastq.gz
SRR7182137	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182137_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182137_2.fastq.gz
SRR7182138	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182138_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182138_2.fastq.gz
SRR7182139	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182139_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182139_2.fastq.gz
SRR7182140	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182140_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182140_2.fastq.gz
SRR7182141	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182141_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182141_2.fastq.gz
SRR7182143	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182143_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182143_2.fastq.gz
SRR7182148	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182148_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182148_2.fastq.gz
SRR7182149	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182149_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182149_2.fastq.gz
SRR7182152	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182152_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182152_2.fastq.gz
SRR7182153	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182153_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182153_2.fastq.gz
SRR7182155	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182155_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182155_2.fastq.gz
SRR7182156	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182156_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182156_2.fastq.gz
SRR7182157	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182157_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182157_2.fastq.gz
SRR7182160	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182160_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182160_2.fastq.gz
SRR7182161	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182161_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182161_2.fastq.gz
SRR7182162	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182162_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182162_2.fastq.gz
SRR7182164	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182164_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182164_2.fastq.gz
SRR7182165	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182165_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182165_2.fastq.gz
SRR7182167	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182167_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182167_2.fastq.gz
SRR7182169	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182169_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182169_2.fastq.gz
SRR7182171	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182171_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182171_2.fastq.gz
SRR7182173	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182173_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182173_2.fastq.gz
SRR7182174	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182174_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182174_2.fastq.gz
SRR7182176	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182176_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182176_2.fastq.gz
SRR7182177	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182177_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182177_2.fastq.gz
SRR7182178	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182178_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182178_2.fastq.gz
SRR7182179	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182179_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182179_2.fastq.gz
SRR7182180	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182180_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182180_2.fastq.gz
SRR7182181	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182181_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182181_2.fastq.gz
SRR7182186	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182186_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182186_2.fastq.gz
SRR7182187	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182187_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182187_2.fastq.gz
SRR7182189	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182189_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182189_2.fastq.gz
SRR7182192	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182192_1.fastq.gz	/home/siddharth/liver_cirrhosis/data/PRJNA471972/SRR7182192_2.fastq.gz
